cell,corner,vdd_V,temp_C,input,output,before,after,output_edge,delay_ps,slew_20_80_ps,ideal_wire
rev_cnot,ff,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ff,1.8,27,A,B_OUT,00,10,rise,104.1547,170.9508,False
rev_cnot,ff,1.8,27,B,B_OUT,00,01,rise,36.3806,110.154,False
rev_cnot,ff,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ff,1.8,27,A,B_OUT,01,11,fall,55.129,52.8235,False
rev_cnot,ff,1.8,27,B,B_OUT,01,00,fall,39.6704,54.308,False
rev_cnot,ff,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ff,1.8,27,A,B_OUT,10,00,fall,80.1829,48.0396,False
rev_cnot,ff,1.8,27,B,B_OUT,10,11,fall,76.7633,54.3077,False
rev_cnot,ff,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ff,1.8,27,A,B_OUT,11,01,rise,80.0837,85.3624,False
rev_cnot,ff,1.8,27,B,B_OUT,11,10,rise,139.83,184.7196,False
rev_cnot,ff,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ff,1.62,125,A,B_OUT,00,10,rise,121.2577,194.8915,False
rev_cnot,ff,1.62,125,B,B_OUT,00,01,rise,43.2675,115.9133,False
rev_cnot,ff,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ff,1.62,125,A,B_OUT,01,11,fall,68.6158,70.6224,False
rev_cnot,ff,1.62,125,B,B_OUT,01,00,fall,45.1907,61.2934,False
rev_cnot,ff,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ff,1.62,125,A,B_OUT,10,00,fall,89.1537,59.0149,False
rev_cnot,ff,1.62,125,B,B_OUT,10,11,fall,95.0682,74.8172,False
rev_cnot,ff,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ff,1.62,125,A,B_OUT,11,01,rise,86.0325,94.1628,False
rev_cnot,ff,1.62,125,B,B_OUT,11,10,rise,156.3398,207.3407,False
rev_cnot,ff,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,ff,1.98,-40,A,B_OUT,00,10,rise,91.036,156.7709,False
rev_cnot,ff,1.98,-40,B,B_OUT,00,01,rise,29.1015,106.1115,False
rev_cnot,ff,1.98,-40,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,ff,1.98,-40,A,B_OUT,01,11,fall,45.7458,43.1946,False
rev_cnot,ff,1.98,-40,B,B_OUT,01,00,fall,34.9439,49.7274,False
rev_cnot,ff,1.98,-40,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,ff,1.98,-40,A,B_OUT,10,00,fall,72.6251,41.4953,False
rev_cnot,ff,1.98,-40,B,B_OUT,10,11,fall,64.7337,43.3159,False
rev_cnot,ff,1.98,-40,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,ff,1.98,-40,A,B_OUT,11,01,rise,74.4826,80.4287,False
rev_cnot,ff,1.98,-40,B,B_OUT,11,10,rise,125.9937,170.5003,False
rev_cnot,sf,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,sf,1.8,27,A,B_OUT,00,10,rise,152.8283,321.3876,False
rev_cnot,sf,1.8,27,B,B_OUT,00,01,rise,42.6861,153.0774,False
rev_cnot,sf,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,sf,1.8,27,A,B_OUT,01,11,fall,56.0094,52.8323,False
rev_cnot,sf,1.8,27,B,B_OUT,01,00,fall,46.7782,48.7042,False
rev_cnot,sf,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,sf,1.8,27,A,B_OUT,10,00,fall,124.1258,58.682,False
rev_cnot,sf,1.8,27,B,B_OUT,10,11,fall,79.1173,53.1787,False
rev_cnot,sf,1.8,27,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,sf,1.8,27,A,B_OUT,11,01,rise,134.307,147.7336,False
rev_cnot,sf,1.8,27,B,B_OUT,11,10,rise,239.006,342.6523,False
rev_cnot,sf,1.62,125,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,sf,1.62,125,A,B_OUT,00,10,rise,178.2536,369.1235,False
rev_cnot,sf,1.62,125,B,B_OUT,00,01,rise,50.9841,168.7987,False
rev_cnot,sf,1.62,125,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,sf,1.62,125,A,B_OUT,01,11,fall,70.0031,70.5143,False
rev_cnot,sf,1.62,125,B,B_OUT,01,00,fall,53.276,57.0602,False
rev_cnot,sf,1.62,125,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,sf,1.62,125,A,B_OUT,10,00,fall,137.6415,72.4534,False
rev_cnot,sf,1.62,125,B,B_OUT,10,11,fall,98.868,73.8113,False
rev_cnot,sf,1.62,125,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,sf,1.62,125,A,B_OUT,11,01,rise,145.7714,167.7924,False
rev_cnot,sf,1.62,125,B,B_OUT,11,10,rise,266.5165,390.342,False
rev_cnot,sf,1.98,-40,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,sf,1.98,-40,A,B_OUT,00,10,rise,125.5919,269.8068,False
rev_cnot,sf,1.98,-40,B,B_OUT,00,01,rise,33.4922,136.75,False
rev_cnot,sf,1.98,-40,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,sf,1.98,-40,A,B_OUT,01,11,fall,46.571,43.4696,False
rev_cnot,sf,1.98,-40,B,B_OUT,01,00,fall,40.9298,44.4052,False
rev_cnot,sf,1.98,-40,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,sf,1.98,-40,A,B_OUT,10,00,fall,109.183,49.067,False
rev_cnot,sf,1.98,-40,B,B_OUT,10,11,fall,66.1893,42.1216,False
rev_cnot,sf,1.98,-40,A,A_OUT,11,01,fall,0.0,60.0,True
rev_cnot,sf,1.98,-40,A,B_OUT,11,01,rise,117.8882,125.2103,False
rev_cnot,sf,1.98,-40,B,B_OUT,11,10,rise,203.6922,289.7277,False
rev_cnot,fs,1.8,27,A,A_OUT,00,10,rise,0.0,60.0,True
rev_cnot,fs,1.8,27,A,B_OUT,00,10,rise,131.7733,177.5811,False
rev_cnot,fs,1.8,27,B,B_OUT,00,01,rise,48.5049,114.4813,False
rev_cnot,fs,1.8,27,A,A_OUT,01,11,rise,0.0,60.0,True
rev_cnot,fs,1.8,27,A,B_OUT,01,11,fall,78.1332,73.1353,False
rev_cnot,fs,1.8,27,B,B_OUT,01,00,fall,47.6871,66.2366,False
rev_cnot,fs,1.8,27,A,A_OUT,10,00,fall,0.0,60.0,True
rev_cnot,fs,1.8,27,A,B_OUT,10,00,fall,88.5709,60.1676,False
